"","Банк","Дата","Кредити","Статус"
"701","БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ",2014-10-01,3464186.62102,"Ліквідований"
"702","ПЛАТИНУМ БАНК",2014-10-01,4707979.27441,"Діючий"
"703","БАНК КИЇВСЬКА РУСЬ ",2014-10-01,5522546.32172,"Ліквідований"
"704","СОЮЗ",2014-10-01,2296923.43712,"Ліквідований"
"705","БАНК МИХАЙЛІВСЬКИЙ",2014-10-01,1019353.09447,"Ліквідований"
"706","УНIКОМБАНК",2014-10-01,700635.7545,"Ліквідований"
"707","УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК",2014-10-01,2520596.6134,"Ліквідований"
"708","ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ",2014-10-01,3039024.21061,"Ліквідований"
"709","ХРЕЩАТИК",2014-10-01,3763679.80305,"Ліквідований"
"710","УКРІНБАНК",2014-10-01,5233660.0238,"Ліквідований"
"711","ФІДОБАНК",2014-10-01,4969763.35378,"Ліквідований"
"712","БАНК ФІНАНСИ ТА КРЕДИТ",2014-10-01,26768345.36753,"Ліквідований"
"713","СХІДНО-ПРОМИСЛ. КОМЕРЦ. БАНК",2014-10-01,NA,"Ліквідований"
"714","ПРАЙМ-БАНК",2014-10-01,186896.81983,"Ліквідований"
"715","IНТЕРБАНК",2014-10-01,NA,"Ліквідований"
"716","ЛЕГБАНК",2014-10-01,377936.72909,"Ліквідований"
"717","ГРІН БАНК",2014-10-01,240390.55284,"Ліквідований"
"718","УКРКОМУНБАНК",2014-10-01,NA,"Ліквідований"
"719","СТАРОКИЇВСЬКИЙ БАНК",2014-10-01,NA,"Ліквідований"
"720","ЧОРНОМОРСЬКИЙ БАНК РОЗВИТКУ ТА РЕКОНСТР.",2014-10-01,NA,"Ліквідований"
"721","МЕЛІОР БАНК",2014-10-01,285507.91053,"Ліквідований"
"722","БАНК РИНКОВІ ТЕХНОЛОГІЇ",2014-10-01,312963.87077,"Ліквідований"
"723","ІНТЕРКРЕДИТБАНК",2014-10-01,304882.43259,"Ліквідований"
"724","БАНК МОРСЬКИЙ",2014-10-01,NA,"Ліквідований"
"725","ЗАХІДІНКОМБАНК",2014-10-01,NA,"Ліквідований"
"726","ДАНІЕЛЬ",2014-10-01,NA,"Ліквідований"
"727","ПОРТО-ФРАНКО",2014-10-01,535981.81978,"Ліквідований"
"728","ПРОМЕКОНОМБАНК",2014-10-01,NA,"Ліквідований"
"729","ФІНРОСТБАНК",2014-10-01,440361.3851,"Ліквідований"
"730","БАНК РЕНЕСАНС КАПІТАЛ",2014-10-01,1416594.64665,"Ліквідований"
"731","АКСІОМА",2014-10-01,496661.54342,"Ліквідований"
"732","УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ",2014-10-01,1342349.72804,"Ліквідований"
"733","АВТОКРАЗБАНК",2014-10-01,NA,"Ліквідований"
"734","БАНК МЕРКУРІЙ",2014-10-01,NA,"Ліквідований"
"735","ЕКСПОБАНК",2014-10-01,723342.3082,"Ліквідований"
"736","БАНК ПЕРШИЙ",2014-10-01,NA,"Ліквідований"
"737","БАНК ДЕМАРК",2014-10-01,946530.17185,"Ліквідований"
"738","БАНК ЗОЛОТІ ВОРОТА",2014-10-01,335824.35175,"Ліквідований"
"739","БАНК КАМБІО",2014-10-01,920515.36456,"Ліквідований"
"740","БАНК КІПРУ",2014-10-01,NA,"Ліквідований"
"741","ЄВРОГАЗБАНК ",2014-10-01,1082772.28211,"Ліквідований"
"742","МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК ",2014-10-01,2444495.00415,"Ліквідований"
"743","ТЕРРА БАНК",2014-10-01,2192608.85121,"Ліквідований"
"744","АКТИВ - БАНК",2014-10-01,1503152.19395,"Ліквідований"
"745","АКТАБАНК ",2014-10-01,300963.21426,"Ліквідований"
"746","ПІВДЕНКОМБАНК ",2014-10-01,NA,"Ліквідований"
"747","РЕАЛ БАНК",2014-10-01,NA,"Ліквідований"
"748","БАНК ФОРУМ",2014-10-01,NA,"Ліквідований"
"749","ВIEЙБI БАНК",2014-10-01,18887115.67622,"Ліквідований"
"750","БРОКБІЗНЕСБАНК",2014-10-01,NA,"Ліквідований"
"751","БГ БАНК",2014-10-01,1258932.09731,"Ліквідований"
"752","РВС БАНК",2014-10-01,NA,"Діючий"
"753","ФІНАНСОВА ІНІЦІАТИВА",2015-01-01,14436617.89895,"Діючий"
"754","АРТЕМ-БАНК",2015-01-01,347519.33011,"Ліквідований"
"755","БАНК ТРАСТ",2015-01-01,570365.96874,"Діючий"
"756","УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.",2015-01-01,6377.44788,"Діючий"
"757","БАНК ФАМІЛЬНИЙ",2015-01-01,53129.5122,"Діючий"
"758","АПЕКС-БАНК",2015-01-01,507102.82973,"Діючий"
"759","НОВИЙ",2015-01-01,594659.92602,"Діючий"
"760","РЕГІОН-БАНК",2015-01-01,313734.38289,"Діючий"
"761","АКОРДБАНК",2015-01-01,406038.32734,"Діючий"
"762","ЗЕМЕЛЬНИЙ КАПІТАЛ",2015-01-01,162792.45142,"Діючий"
"763","ФІНЕКСБАНК",2015-01-01,70343.30475,"Ліквідований"
"764","ВЕКТОР БАНК",2015-01-01,143187.48855,"Діючий"
"765","КРЕДИТ ОПТИМА БАНК",2015-01-01,121069.81716,"Діючий"
"766","БАНК ПОРТАЛ",2015-01-01,112252.36621,"Діючий"
"767","АЛЬПАРІ БАНК",2015-01-01,27213.97149,"Діючий"
"768","НЕОС БАНК",2015-01-01,55348.95355,"Діючий"
"769","ЛЬВІВ",2015-01-01,823465.28857,"Діючий"
"770","БАНК СІЧ",2015-01-01,440452.83111,"Діючий"
"771","УКРБУДІНВЕСТБАНК",2015-01-01,299510.25227,"Діючий"
"772","АП БАНК",2015-01-01,NA,"Діючий"
"773","ГЕФЕСТ",2015-01-01,0,"Діючий"
"774","ЦЕНТР",2015-01-01,117523.08854,"Діючий"
"775","ФІНАНСОВИЙ ПАРТНЕР",2015-01-01,71266.81719,"Діючий"
"776","КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК",2015-01-01,118496.65893,"Діючий"
"777","БАНК УКРАЇНСЬКИЙ КАПІТАЛ",2015-01-01,196935.18768,"Діючий"
"778","НК БАНК",2015-01-01,NA,"Діючий"
"779","ДІАМАНТБАНК",2015-01-01,3241059.51079,"Діючий"
"780","МЕТАБАНК",2015-01-01,398243.64755,"Діючий"
"781","АЙБОКС БАНК",2015-01-01,312792.20352,"Діючий"
"782","ІНВЕСТБАНК",2015-01-01,418572.1906,"Діючий"
"783","ВЕРНУМ БАНК",2015-01-01,131223.5931,"Діючий"
"784","РОЗРАХУНКОВИЙ ЦЕНТР",2015-01-01,0,"Діючий"
"785","БАНК АЛЬЯНС",2015-01-01,526418.81892,"Діючий"
"786","КОМІНВЕСТБАНК",2015-01-01,649777.31897,"Діючий"
"787","МОТОР-БАНК",2015-01-01,207415.29275,"Діючий"
"788","ЮНЕКС БАНК",2015-01-01,1274967.27106,"Діючий"
"789","КОНКОРД",2015-01-01,178059.93952,"Діючий"
"790","МІСТО БАНК",2015-01-01,1421488.86037,"Діючий"
"791","ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК",2015-01-01,210472.07519,"Діючий"
"792","ОКСІ БАНК",2015-01-01,364638.1166,"Діючий"
"793","БАНК АВАНГАРД",2015-01-01,0,"Діючий"
"794","БАНК БОГУСЛАВ",2015-01-01,350391.31455,"Діючий"
"795","ПОЛІКОМБАНК",2015-01-01,323862.69674,"Діючий"
"796","ФІНБАНК",2015-01-01,1396811.70434,"Діючий"
"797","МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК",2015-01-01,1728624.04372,"Діючий"
"798","КРЕДИТВЕСТ БАНК",2015-01-01,448391.99211,"Діючий"
"799","РАДАБАНК",2015-01-01,237541.04603,"Діючий"
"800","ЄВРОПРОМБАНК",2015-01-01,843452.10797,"Діючий"
"801","БАНК ЮНІСОН",2015-01-01,373383.7205,"Діючий"
"802","ТРАСТ-КАПІТАЛ",2015-01-01,257887.35072,"Діючий"
"803","КРИСТАЛБАНК",2015-01-01,112867.77026,"Діючий"
"804","ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК",2015-01-01,818043.12782,"Діючий"
"805","ІДЕЯ БАНК",2015-01-01,2207240.51095,"Діючий"
"806","ДІВІ БАНК",2015-01-01,1781891.79564,"Діючий"
"807","АСВІО БАНК",2015-01-01,387001.2957,"Діючий"
"808","ДОЙЧЕ БАНК ДБУ",2015-01-01,241852.3386,"Діючий"
"809","БАНК ФОРВАРД",2015-01-01,1664592.70135,"Діючий"
"810","ТАСКОМБАНК",2015-01-01,2110925.78556,"Діючий"
"811","БМ БАНК",2015-01-01,2560582.85065,"Діючий"
"812","ГЛОБУС",2015-01-01,720411.20652,"Діючий"
"813","МАРФІН БАНК ",2015-01-01,1597163.32173,"Діючий"
"814","А - БАНК",2015-01-01,931274.3648,"Діючий"
"815","СЕБ КОРПОРАТИВНИЙ БАНК",2015-01-01,1173941.62696,"Діючий"
"816","ЕКСПРЕС-БАНК",2015-01-01,994816.07374,"Діючий"
"817","КЛІРИНГОВИЙ ДІМ",2015-01-01,1937393.62523,"Діючий"
"818","КРЕДИТ ЄВРОПА БАНК ",2015-01-01,1090042.78517,"Діючий"
"819","БАНК ГРАНТ",2015-01-01,839736.42387,"Діючий"
"820","БАНК 3/4",2015-01-01,543910.095,"Діючий"
"821","БАНК КРЕДИТ ДНІПРО",2015-01-01,5659435.03015,"Діючий"
"822","БАНК ВОСТОК",2015-01-01,3283827.82523,"Діючий"
"823","ПІРЕУС БАНК МКБ",2015-01-01,1320902.60382,"Діючий"
"824","ПОЛТАВА - БАНК",2015-01-01,874793.54104,"Діючий"
"825","БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",2015-01-01,3552608.32974,"Діючий"
"826","ФОРТУНА-БАНК",2015-01-01,3045363.80553,"Діючий"
"827","АРКАДА",2015-01-01,2061666.639,"Діючий"
"828","IНДУСТРІАЛБАНК",2015-01-01,1716038.86442,"Діючий"
"829","МЕГАБАНК",2015-01-01,5744565.49269,"Діючий"
"830","УНІВЕРСАЛ БАНК",2015-01-01,4140353.21075,"Діючий"
"831","ВІЕС БАНК",2015-01-01,1645761.94847,"Діючий"
"832","КРЕДOБАНК",2015-01-01,3013769.85576,"Діючий"
"833","ПРОКРЕДИТ БАНК",2015-01-01,3476998.44371,"Діючий"
"834","ПРАВЕКС-БАНК",2015-01-01,2644096.85489,"Діючий"
"835","БТА БАНК  ",2015-01-01,842418.91036,"Діючий"
"836","СІТІБАНК ",2015-01-01,2550039.14314,"Діючий"
"837","ПІВДЕННИЙ",2015-01-01,10637478.16412,"Діючий"
"838","КРЕДІ АГРІКОЛЬ БАНК",2015-01-01,14529800.11522,"Діючий"
"839","ОТП БАНК",2015-01-01,16017575.69869,"Діючий"
"840","РОДОВІД БАНК",2015-01-01,40884.6485100002,"Діючий"
"841","СБЕРБАНК РОСІЇ",2015-01-01,37692112.16745,"Діючий"
"842","ІНГ БАНК УКРАЇНА",2015-01-01,9172119.31195,"Діючий"
"843","ПУМБ",2015-01-01,25833818.01835,"Діючий"
"844","УКРСИББАНК",2015-01-01,14904777.44778,"Діючий"
"845","ВТБ БАНК",2015-01-01,29285963.89369,"Діючий"
"846","УКРГАЗБАНК ",2015-01-01,10034858.45705,"Діючий"
"847","ПРОМІНВЕСТБАНК",2015-01-01,38500678.77086,"Діючий"
"848","УКРЕКСІМБАНК",2015-01-01,52093575.46388,"Діючий"
"849","АЛЬФА-БАНК",2015-01-01,25609183.28381,"Діючий"
"850","РАЙФФАЙЗЕН БАНК АВАЛЬ",2015-01-01,29705239.69085,"Діючий"
"851","ОЩАДБАНК",2015-01-01,69271838.3044,"Діючий"
"852","УКРСОЦБАНК",2015-01-01,32490498.04756,"Діючий"
"853","ПРИВАТБАНК",2015-01-01,161338725.50618,"Діючий"
"854","ДЕЛЬТА БАНК",2015-01-01,44784753.6214,"Ліквідований"
"855","НАДРА",2015-01-01,31096708.19443,"Ліквідований"
"856","IМЕКСБАНК",2015-01-01,10296994.83641,"Ліквідований"
"857","ЗЛАТОБАНК",2015-01-01,7531937.60727,"Ліквідований"
"858","УКРБІЗНЕСБАНК ",2015-01-01,1822546.98095,"Ліквідований"
"859","ОМЕГА БАНК",2015-01-01,0,"Ліквідований"
"860","КРЕДИТПРОМБАНК",2015-01-01,147844.15873,"Ліквідований"
"861","ПРОФІН БАНК",2015-01-01,318636.73808,"Ліквідований"
"862","СТАНДАРТ",2015-01-01,810614.27157,"Ліквідований"
"863","АСТРА БАНК",2015-01-01,124.31564,"Ліквідований"
"864","ЕНЕРГОБАНК",2015-01-01,1084462.79049,"Ліквідований"
"865","УКРГАЗПРОМБАНК",2015-01-01,688608.27681,"Ліквідований"
"866","КИЇВ",2015-01-01,326827.51887,"Ліквідований"
"867","БАНК КОНТРАКТ",2015-01-01,333349.14894,"Ліквідований"
"868","БАНК СОФІЙСЬКИЙ",2015-01-01,600789.18195,"Ліквідований"
"869","ДЕРЖЗЕМБАНК",2015-01-01,0,"Ліквідований"
"870","БАНК НАРОДНИЙ КАПІТАЛ",2015-01-01,244199.05003,"Ліквідований"
"871","ЄВРОБАНК",2015-01-01,498109.92868,"Ліквідований"
"872","ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК",2015-01-01,189549.50588,"Ліквідований"
"873","БАНК ВЕЛЕС",2015-01-01,165290.58801,"Ліквідований"
"874","СТОЛИЧНИЙ",2015-01-01,528709.88287,"Ліквідований"
"875","РАДИКАЛ БАНК",2015-01-01,1117199.31732,"Ліквідований"
"876","ТК КРЕДИТ",2015-01-01,702585.30631,"Ліквідований"
"877","БАНК НАЦІОНАЛЬНИЙ КРЕДИТ",2015-01-01,1562371.00889,"Ліквідований"
"878","КСГ БАНК ",2015-01-01,310429.94445,"Ліквідований"
"879","ФІНАНС БАНК",2015-01-01,129684.46357,"Ліквідований"
"880","УКООПСПІЛКА",2015-01-01,88528.18786,"Ліквідований"
"881","КАПІТАЛ",2015-01-01,980329.25841,"Ліквідований"
"882","КЛАСИКБАНК",2015-01-01,995137.41601,"Ліквідований"
"883","IНТЕГРАЛ - БАНК",2015-01-01,627050.78713,"Ліквідований"
"884","БАНК ПЕТРОКОММЕРЦ-УКРАЇНА",2015-01-01,673410.42221,"Ліквідований"
"885","ЮНІОН СТАНДАРД БАНК",2015-01-01,571124.43405,"Ліквідований"
"886","ПРЕМIУМ",2015-01-01,980871.03076,"Ліквідований"
"887","СМАРТБАНК ",2015-01-01,311783.01444,"Ліквідований"
"888","АВАНТ-БАНК",2015-01-01,1285681.38336,"Ліквідований"
"889","БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ",2015-01-01,3743461.73784,"Ліквідований"
"890","ПЛАТИНУМ БАНК",2015-01-01,5954610.70704,"Діючий"
"891","БАНК КИЇВСЬКА РУСЬ ",2015-01-01,5680314.00743,"Ліквідований"
"892","СОЮЗ",2015-01-01,1687419.05253,"Ліквідований"
"893","БАНК МИХАЙЛІВСЬКИЙ",2015-01-01,1816108.24104,"Ліквідований"
"894","УНIКОМБАНК",2015-01-01,1059956.86212,"Ліквідований"
"895","УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК",2015-01-01,2654584.93219,"Ліквідований"
"896","ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ",2015-01-01,2939069.90053,"Ліквідований"
"897","ХРЕЩАТИК",2015-01-01,4010328.49659,"Ліквідований"
"898","УКРІНБАНК",2015-01-01,5443853.73952,"Ліквідований"
"899","ФІДОБАНК",2015-01-01,5535865.5174,"Ліквідований"
"900","БАНК ФІНАНСИ ТА КРЕДИТ",2015-01-01,29864424.82032,"Ліквідований"
"901","СХІДНО-ПРОМИСЛ. КОМЕРЦ. БАНК",2015-01-01,NA,"Ліквідований"
"902","ПРАЙМ-БАНК",2015-01-01,NA,"Ліквідований"
"903","IНТЕРБАНК",2015-01-01,NA,"Ліквідований"
"904","ЛЕГБАНК",2015-01-01,217021.05325,"Ліквідований"
"905","ГРІН БАНК",2015-01-01,106378.40513,"Ліквідований"
"906","УКРКОМУНБАНК",2015-01-01,NA,"Ліквідований"
"907","СТАРОКИЇВСЬКИЙ БАНК",2015-01-01,NA,"Ліквідований"
"908","ЧОРНОМОРСЬКИЙ БАНК РОЗВИТКУ ТА РЕКОНСТР.",2015-01-01,NA,"Ліквідований"
"909","МЕЛІОР БАНК",2015-01-01,77726.63902,"Ліквідований"
"910","БАНК РИНКОВІ ТЕХНОЛОГІЇ",2015-01-01,NA,"Ліквідований"
"911","ІНТЕРКРЕДИТБАНК",2015-01-01,NA,"Ліквідований"
"912","БАНК МОРСЬКИЙ",2015-01-01,NA,"Ліквідований"
"913","ЗАХІДІНКОМБАНК",2015-01-01,NA,"Ліквідований"
"914","ДАНІЕЛЬ",2015-01-01,NA,"Ліквідований"
"915","ПОРТО-ФРАНКО",2015-01-01,330053.92736,"Ліквідований"
"916","ПРОМЕКОНОМБАНК",2015-01-01,NA,"Ліквідований"
"917","ФІНРОСТБАНК",2015-01-01,NA,"Ліквідований"
"918","БАНК РЕНЕСАНС КАПІТАЛ",2015-01-01,1397075.31611,"Ліквідований"
"919","АКСІОМА",2015-01-01,142200.80056,"Ліквідований"
"920","УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ",2015-01-01,NA,"Ліквідований"
"921","АВТОКРАЗБАНК",2015-01-01,NA,"Ліквідований"
"922","БАНК МЕРКУРІЙ",2015-01-01,NA,"Ліквідований"
"923","ЕКСПОБАНК",2015-01-01,1165777.32822,"Ліквідований"
"924","БАНК ПЕРШИЙ",2015-01-01,NA,"Ліквідований"
"925","БАНК ДЕМАРК",2015-01-01,350282.78196,"Ліквідований"
"926","БАНК ЗОЛОТІ ВОРОТА",2015-01-01,NA,"Ліквідований"
"927","БАНК КАМБІО",2015-01-01,187581.47707,"Ліквідований"
"928","БАНК КІПРУ",2015-01-01,NA,"Ліквідований"
"929","ЄВРОГАЗБАНК ",2015-01-01,NA,"Ліквідований"
"930","МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК ",2015-01-01,966.085759999998,"Ліквідований"
"931","ТЕРРА БАНК",2015-01-01,NA,"Ліквідований"
"932","АКТИВ - БАНК",2015-01-01,NA,"Ліквідований"
"933","АКТАБАНК ",2015-01-01,NA,"Ліквідований"
"934","ПІВДЕНКОМБАНК ",2015-01-01,NA,"Ліквідований"
"935","РЕАЛ БАНК",2015-01-01,NA,"Ліквідований"
"936","БАНК ФОРУМ",2015-01-01,NA,"Ліквідований"
"937","ВIEЙБI БАНК",2015-01-01,6948568.83555,"Ліквідований"
"938","БРОКБІЗНЕСБАНК",2015-01-01,NA,"Ліквідований"
"939","БГ БАНК",2015-01-01,754628.98589,"Ліквідований"
"940","РВС БАНК",2015-01-01,NA,"Діючий"
"941","ФІНАНСОВА ІНІЦІАТИВА",2015-04-01,15631244.68648,"Діючий"
"942","АРТЕМ-БАНК",2015-04-01,423307.40381,"Ліквідований"
"943","БАНК ТРАСТ",2015-04-01,694456.31439,"Діючий"
"944","УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.",2015-04-01,1142.88345,"Діючий"
"945","БАНК ФАМІЛЬНИЙ",2015-04-01,63346.89713,"Діючий"
"946","АПЕКС-БАНК",2015-04-01,545102.94394,"Діючий"
"947","НОВИЙ",2015-04-01,623528.00538,"Діючий"
"948","РЕГІОН-БАНК",2015-04-01,324712.67737,"Діючий"
"949","АКОРДБАНК",2015-04-01,463691.14692,"Діючий"
"950","ЗЕМЕЛЬНИЙ КАПІТАЛ",2015-04-01,140679.41683,"Діючий"
"951","ФІНЕКСБАНК",2015-04-01,72331.46382,"Ліквідований"
"952","ВЕКТОР БАНК",2015-04-01,138027.24617,"Діючий"
"953","КРЕДИТ ОПТИМА БАНК",2015-04-01,120557.749,"Діючий"
"954","БАНК ПОРТАЛ",2015-04-01,119545.04887,"Діючий"
"955","АЛЬПАРІ БАНК",2015-04-01,37132.58109,"Діючий"
"956","НЕОС БАНК",2015-04-01,14346.58278,"Діючий"
"957","ЛЬВІВ",2015-04-01,1012082.52512,"Діючий"
"958","БАНК СІЧ",2015-04-01,535644.91095,"Діючий"
"959","УКРБУДІНВЕСТБАНК",2015-04-01,244756.487,"Діючий"
"960","АП БАНК",2015-04-01,NA,"Діючий"
"961","ГЕФЕСТ",2015-04-01,120638.27177,"Діючий"
"962","ЦЕНТР",2015-04-01,117213.48406,"Діючий"
"963","ФІНАНСОВИЙ ПАРТНЕР",2015-04-01,5954.14442,"Діючий"
"964","КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК",2015-04-01,129690.50936,"Діючий"
"965","БАНК УКРАЇНСЬКИЙ КАПІТАЛ",2015-04-01,182391.86755,"Діючий"
"966","НК БАНК",2015-04-01,NA,"Діючий"
"967","ДІАМАНТБАНК",2015-04-01,3533227.96879,"Діючий"
"968","МЕТАБАНК",2015-04-01,368092.94445,"Діючий"
"969","АЙБОКС БАНК",2015-04-01,331998.04965,"Діючий"
"970","ІНВЕСТБАНК",2015-04-01,494530.14084,"Діючий"
"971","ВЕРНУМ БАНК",2015-04-01,132126.17964,"Діючий"
"972","РОЗРАХУНКОВИЙ ЦЕНТР",2015-04-01,0,"Діючий"
"973","БАНК АЛЬЯНС",2015-04-01,316595.76896,"Діючий"
"974","КОМІНВЕСТБАНК",2015-04-01,770928.18614,"Діючий"
"975","МОТОР-БАНК",2015-04-01,240075.80903,"Діючий"
"976","ЮНЕКС БАНК",2015-04-01,1069569.08483,"Діючий"
"977","КОНКОРД",2015-04-01,190783.78297,"Діючий"
"978","МІСТО БАНК",2015-04-01,1693961.89749,"Діючий"
"979","ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК",2015-04-01,184350.3584,"Діючий"
"980","ОКСІ БАНК",2015-04-01,463747.86289,"Діючий"
"981","БАНК АВАНГАРД",2015-04-01,0,"Діючий"
"982","БАНК БОГУСЛАВ",2015-04-01,375988.94184,"Діючий"
"983","ПОЛІКОМБАНК",2015-04-01,335237.88799,"Діючий"
"984","ФІНБАНК",2015-04-01,1279433.63124,"Діючий"
"985","МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК",2015-04-01,2310348.91704,"Діючий"
"986","КРЕДИТВЕСТ БАНК",2015-04-01,556025.65639,"Діючий"
"987","РАДАБАНК",2015-04-01,263380.31542,"Діючий"
"988","ЄВРОПРОМБАНК",2015-04-01,1035171.61987,"Діючий"
"989","БАНК ЮНІСОН",2015-04-01,420244.01819,"Діючий"
"990","ТРАСТ-КАПІТАЛ",2015-04-01,304954.97492,"Діючий"
"991","КРИСТАЛБАНК",2015-04-01,136635.93182,"Діючий"
"992","ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК",2015-04-01,988418.91447,"Діючий"
"993","ІДЕЯ БАНК",2015-04-01,2210022.79107,"Діючий"
"994","ДІВІ БАНК",2015-04-01,1667375.04594,"Діючий"
"995","АСВІО БАНК",2015-04-01,433661.71186,"Діючий"
"996","ДОЙЧЕ БАНК ДБУ",2015-04-01,466324.9621,"Діючий"
"997","БАНК ФОРВАРД",2015-04-01,1571679.11734,"Діючий"
"998","ТАСКОМБАНК",2015-04-01,2712716.43686,"Діючий"
"999","БМ БАНК",2015-04-01,2661883.31701,"Діючий"
"1000","ГЛОБУС",2015-04-01,762348.04156,"Діючий"
"1001","МАРФІН БАНК ",2015-04-01,1741313.72782,"Діючий"
"1002","А - БАНК",2015-04-01,1293930.61337,"Діючий"
"1003","СЕБ КОРПОРАТИВНИЙ БАНК",2015-04-01,1353271.32572,"Діючий"
"1004","ЕКСПРЕС-БАНК",2015-04-01,995766.46477,"Діючий"
"1005","КЛІРИНГОВИЙ ДІМ",2015-04-01,1654132.28132,"Діючий"
"1006","КРЕДИТ ЄВРОПА БАНК ",2015-04-01,1406738.58471,"Діючий"
"1007","БАНК ГРАНТ",2015-04-01,934009.095,"Діючий"
"1008","БАНК 3/4",2015-04-01,510271.37363,"Діючий"
"1009","БАНК КРЕДИТ ДНІПРО",2015-04-01,6378562.60325,"Діючий"
"1010","БАНК ВОСТОК",2015-04-01,3932917.82669,"Діючий"
"1011","ПІРЕУС БАНК МКБ",2015-04-01,1692304.45082,"Діючий"
"1012","ПОЛТАВА - БАНК",2015-04-01,899541.70732,"Діючий"
"1013","БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",2015-04-01,4549700.77665,"Діючий"
"1014","ФОРТУНА-БАНК",2015-04-01,3660645.78821,"Діючий"
"1015","АРКАДА",2015-04-01,2124163.46704,"Діючий"
"1016","IНДУСТРІАЛБАНК",2015-04-01,2041592.32021,"Діючий"
"1017","МЕГАБАНК",2015-04-01,7285734.37502,"Діючий"
"1018","УНІВЕРСАЛ БАНК",2015-04-01,5412589.69807,"Діючий"
"1019","ВІЕС БАНК",2015-04-01,1904534.5706,"Діючий"
"1020","КРЕДOБАНК",2015-04-01,3615371.29707,"Діючий"
"1021","ПРОКРЕДИТ БАНК",2015-04-01,4017281.68696,"Діючий"
"1022","ПРАВЕКС-БАНК",2015-04-01,2573131.94717,"Діючий"
"1023","БТА БАНК  ",2015-04-01,937347.10251,"Діючий"
"1024","СІТІБАНК ",2015-04-01,2445979.07464,"Діючий"
"1025","ПІВДЕННИЙ",2015-04-01,12855420.08034,"Діючий"
"1026","КРЕДІ АГРІКОЛЬ БАНК",2015-04-01,15975677.63415,"Діючий"
"1027","ОТП БАНК",2015-04-01,18829266.34845,"Діючий"
"1028","РОДОВІД БАНК",2015-04-01,44171.2195299997,"Діючий"
"1029","СБЕРБАНК РОСІЇ",2015-04-01,50240947.58164,"Діючий"
"1030","ІНГ БАНК УКРАЇНА",2015-04-01,11750462.2994,"Діючий"
"1031","ПУМБ",2015-04-01,30142572.60436,"Діючий"
"1032","УКРСИББАНК",2015-04-01,19540173.31505,"Діючий"
"1033","ВТБ БАНК",2015-04-01,35684102.5254,"Діючий"
"1034","УКРГАЗБАНК ",2015-04-01,10573197.41004,"Діючий"
"1035","ПРОМІНВЕСТБАНК",2015-04-01,51578468.73673,"Діючий"
"1036","УКРЕКСІМБАНК",2015-04-01,65175599.94232,"Діючий"
"1037","АЛЬФА-БАНК",2015-04-01,29756611.39688,"Діючий"
"1038","РАЙФФАЙЗЕН БАНК АВАЛЬ",2015-04-01,31307229.37033,"Діючий"
"1039","ОЩАДБАНК",2015-04-01,79763624.90783,"Діючий"
"1040","УКРСОЦБАНК",2015-04-01,41240512.06727,"Діючий"
"1041","ПРИВАТБАНК",2015-04-01,186706382.72015,"Діючий"
"1042","ДЕЛЬТА БАНК",2015-04-01,18497176.18718,"Ліквідований"
"1043","НАДРА",2015-04-01,7192969.60192,"Ліквідований"
"1044","IМЕКСБАНК",2015-04-01,7188063.53905,"Ліквідований"
"1045","ЗЛАТОБАНК",2015-04-01,5681971.97409,"Ліквідований"
"1046","УКРБІЗНЕСБАНК ",2015-04-01,1251021.739,"Ліквідований"
"1047","ОМЕГА БАНК",2015-04-01,0,"Ліквідований"
"1048","КРЕДИТПРОМБАНК",2015-04-01,144457.83474,"Ліквідований"
"1049","ПРОФІН БАНК",2015-04-01,305623.52731,"Ліквідований"
"1050","СТАНДАРТ",2015-04-01,676628.91919,"Ліквідований"
"1051","АСТРА БАНК",2015-04-01,44.10747,"Ліквідований"
"1052","ЕНЕРГОБАНК",2015-04-01,977977.26951,"Ліквідований"
"1053","УКРГАЗПРОМБАНК",2015-04-01,617804.56764,"Ліквідований"
